breath_peaks_x,breath_peaks_ms,breath_peaks_y,heart_peaks_x,heart_peaks_ms,heart_peaks_y,latency_dp,latency_ms
57,0.0285,0.66802978515625,191,0.0955,0.06988525390625,134,0.067
574,0.28700000000000003,0.70709228515625,740,0.37,0.07415771484375,166,0.08299999999999996
